OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,geoname,Median_Housing_Value,houses,lessthan10k,a10kto14999,a15kto19999,a20kto24999,a25kto29999,a30kto34999,a35kto39999,a40kto49999,a50kto59999,a60kto69999,a70kto79999,a80kto89999,a90kto99999,a100kto124999,a125kto149999,a150kto174999,a175kto199999,a200kto249999,a250kto299999,a300kto399999,a400kto499999,a500kto749999,a750kto999999,a1Mto1499999,a1500000to1999999,a2MorMore,Units_with_cash_rent,MedianGrossRent,GlobalID,Shape__Area,Shape__Length,High_Affordability,Moderate_Affordability,Low_Affordability,Affordability_Index,Affordability_Index_Category,Housing_Value_Range,Rent_Level,Total_Units,pct_high_affordbility,pct_moderate_affordbility,pct_low_affordbility,Weighted_Housing_Value,Affordable_per_House,Neighborhood,Log_Housing_Value,Log_MedianRent,Affordability_Score
3239,37,119,5842,1,371190058421,Block Group 1,"Block Group 1, Census Tract 58.42, Mecklenburg County, North Carolina",265400.0,462.0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,49,105,195,96,0,0,0,0,0,0,333,1719.0,87e79d9c-554b-4d37-9bb8-9bb61ab6e652,8629037.61303711,12766.9259800013,17,445,0,0.0367965367965368,Low,150k-300k,High,462,0.0367965367965368,0.9632034632034632,0.0,122614800.0,0.0367965367965368,Block Group 1,12.48899716877066,7.450079569807499,0.0367965367965368
3240,37,119,1000,3,371190010003,Block Group 3,"Block Group 3, Census Tract 10, Mecklenburg County, North Carolina",396500.0,349.0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11,39,0,18,0,99,87,84,0,0,0,0,315,1466.0,c1d1b5eb-dcb7-41bc-be13-83294b8386e0,6916620.12182617,12931.6813080644,22,156,171,0.06303724928366762,Low,300k-500k,Moderate,349,0.06303724928366762,0.4469914040114613,0.4899713467048711,138378500.0,0.06303724928366762,Block Group 3,12.890433842121956,7.2909747781429814,-0.4269340974212035
3241,37,119,5835,1,371190058351,Block Group 1,"Block Group 1, Census Tract 58.35, Mecklenburg County, North Carolina",271200.0,899.0,6,0,0,6,0,0,0,0,0,17,5,5,8,0,0,23,62,193,294,247,11,15,0,0,0,7,94,695.0,83b69fdf-781f-4dc9-a3be-05fcb64ceb43,57745645.5519409,31856.5628074095,47,819,33,0.05228031145717464,Low,150k-300k,Low,899,0.05228031145717464,0.9110122358175751,0.03670745272525028,243808800.0,0.05228031145717464,Block Group 1,12.510615522357213,6.54534966033442,0.015572858731924363
3242,37,119,5842,2,371190058422,Block Group 2,"Block Group 2, Census Tract 58.42, Mecklenburg County, North Carolina",277600.0,501.0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,12,0,116,195,163,0,0,0,0,0,0,96,1888.0,d360d9dc-4dd5-418c-922f-6bde17b5ebe5,8834865.67608643,11849.6032521504,15,486,0,0.029940119760479042,Low,150k-300k,High,501,0.029940119760479042,0.9700598802395209,0.0,139077600.0,0.029940119760479042,Block Group 2,12.533940109913773,7.543802867501509,0.029940119760479042
3243,37,119,5709,2,371190057092,Block Group 2,"Block Group 2, Census Tract 57.09, Mecklenburg County, North Carolina",254400.0,534.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,47,85,105,226,33,18,0,0,10,0,0,257,1163.0,8548fc58-82cc-4565-a02e-dbba48745069,21959447.2184448,22937.7714299319,10,496,28,0.018726591760299626,Low,150k-300k,Moderate,534,0.018726591760299626,0.9288389513108615,0.052434456928838954,135849600.0,0.018726591760299626,Block Group 2,12.446667041257989,7.059617628291383,-0.033707865168539325
3244,37,119,1000,1,371190010001,Block Group 1,"Block Group 1, Census Tract 10, Mecklenburg County, North Carolina",576900.0,359.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,5,0,59,49,174,59,0,0,0,99,1088.0,cc79df89-98b3-4e4c-a49c-ed2234107f47,5982933.80462646,10024.642911127,7,70,282,0.019498607242339833,Low,>500k,Moderate,359,0.019498607242339833,0.19498607242339833,0.7855153203342619,207107100.0,0.019498607242339833,Block Group 1,13.265425953646147,6.9930151229329605,-0.766016713091922
3245,37,119,5907,2,371190059072,Block Group 2,"Block Group 2, Census Tract 59.07, Mecklenburg County, North Carolina",209700.0,674.0,0,0,0,0,0,0,0,0,0,0,0,8,0,41,0,57,208,118,86,71,6,37,12,30,0,0,33,1489.0,d14be574-c8e1-4466-b363-7bf10af1d298,25557152.1187134,24102.7010141624,49,540,85,0.07270029673590504,Low,150k-300k,Moderate,674,0.07270029673590504,0.8011869436201781,0.1261127596439169,141337800.0,0.07270029673590504,Block Group 2,12.253437985595856,7.306531398939505,-0.05341246290801187
3246,37,119,5909,1,371190059091,Block Group 1,"Block Group 1, Census Tract 59.09, Mecklenburg County, North Carolina",230900.0,1325.0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,108,190,203,195,267,111,129,70,0,11,0,0,231,1670.0,aad92c86-65d9-4ced-bf5f-58e501d8591b,89572011.156311,37566.2772185966,149,966,210,0.11245283018867924,Low,150k-300k,High,1325,0.11245283018867924,0.7290566037735849,0.15849056603773584,305942500.0,0.11245283018867924,Block Group 1,12.349744326212377,7.421177528595393,-0.0460377358490566
3247,37,119,2003,3,371190020033,Block Group 3,"Block Group 3, Census Tract 20.03, Mecklenburg County, North Carolina",308500.0,455.0,0,0,0,0,0,0,11,0,0,0,0,0,0,11,0,0,0,158,30,205,20,9,0,0,0,11,71,,6ce5e4c5-f63f-42cc-b273-8eee67b6cad4,10889117.6851807,16711.3327067296,22,393,40,0.04835164835164835,Low,300k-500k,,455,0.04835164835164835,0.8637362637362638,0.08791208791208792,140367500.0,0.04835164835164835,Block Group 3,12.639480363813412,,-0.039560439560439566
3248,37,119,3103,2,371190031032,Block Group 2,"Block Group 2, Census Tract 31.03, Mecklenburg County, North Carolina",315500.0,734.0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,24,0,77,112,81,335,84,0,0,0,0,0,311,1663.0,c3994c6c-fd5e-4b04-bf26-35beb652524e,22297944.5321045,23464.8272579721,45,605,84,0.06130790190735695,Low,300k-500k,High,734,0.06130790190735695,0.8242506811989101,0.11444141689373297,231577000.0,0.06130790190735695,Block Group 2,12.66191713053049,7.416979621381154,-0.053133514986376015
3249,37,119,5610,1,371190056101,Block Group 1,"Block Group 1, Census Tract 56.10, Mecklenburg County, North Carolina",154500.0,197.0,0,0,0,0,0,0,0,0,0,14,0,0,7,8,65,25,35,43,0,0,0,0,0,0,0,0,168,,b9d66849-1894-4150-b0ec-0aef9274b2d1,13117196.59375,18582.1634212118,94,103,0,0.47715736040609136,Moderate,150k-300k,,197,0.47715736040609136,0.5228426395939086,0.0,30436500.0,0.47715736040609136,Block Group 1,11.947955847790901,,0.47715736040609136
3250,37,119,5711,3,371190057113,Block Group 3,"Block Group 3, Census Tract 57.11, Mecklenburg County, North Carolina",267100.0,1035.0,0,0,0,0,17,0,0,0,0,0,0,0,16,0,0,96,45,215,376,220,50,0,0,0,0,0,129,2102.0,ea75198c-b83b-4bc0-8ec5-cf34c4b94385,49110888.4057007,32645.9044976731,33,952,50,0.03188405797101449,Low,150k-300k,High,1035,0.03188405797101449,0.9198067632850242,0.04830917874396135,276448500.0,0.03188405797101449,Block Group 3,12.49538214300718,7.6511201757027,-0.01642512077294686
3251,37,119,5513,2,371190055132,Block Group 2,"Block Group 2, Census Tract 55.13, Mecklenburg County, North Carolina",188300.0,459.0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,27,124,114,113,29,17,10,0,7,0,0,0,75,1256.0,98dba454-dca9-4712-a0bd-35e094131fc6,12143385.0869751,18546.5195226688,45,397,17,0.09803921568627451,Low,150k-300k,Moderate,459,0.09803921568627451,0.8649237472766884,0.037037037037037035,86429700.0,0.09803921568627451,Block Group 2,12.145797025305598,7.136483208590247,0.06100217864923747
3252,37,119,5823,1,371190058231,Block Group 1,"Block Group 1, Census Tract 58.23, Mecklenburg County, North Carolina",560600.0,341.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,57,45,225,0,0,0,0,192,1497.0,a279fc7d-8a40-461f-95b0-a927e23f087f,41556618.2763062,28498.3316037035,0,71,270,0.0,,>500k,Moderate,341,0.0,0.20821114369501467,0.7917888563049853,191164600.0,0.0,Block Group 1,13.236764701514302,7.311886164077165,-0.7917888563049853
3253,37,119,6006,2,371190060062,Block Group 2,"Block Group 2, Census Tract 60.06, Mecklenburg County, North Carolina",119700.0,501.0,0,13,0,0,3,0,0,0,0,14,13,28,55,158,42,77,35,14,31,18,0,0,0,0,0,0,298,641.0,69ee5bf7-6d0d-47c3-ae83-00de2d78e006,41211947.0464478,39317.0411495634,326,175,0,0.6506986027944112,Moderate,<150k,Low,501,0.6506986027944112,0.34930139720558884,0.0,59969700.0,0.6506986027944112,Block Group 2,11.692752245730048,6.464588303689961,0.6506986027944112
3254,37,119,100,5,371190001005,Block Group 5,"Block Group 5, Census Tract 1, Mecklenburg County, North Carolina",811300.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,51,0,0,0,308,1637.0,ac78075b-9c38-42ab-b30d-ded86776efef,7036154.12017822,11643.9250922502,0,0,77,0.0,,>500k,High,77,0.0,0.0,1.0,62470100.0,0.0,Block Group 5,13.606394410972067,7.401231264413015,-1.0
