OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,geoname,Median_Housing_Value,houses,lessthan10k,a10kto14999,a15kto19999,a20kto24999,a25kto29999,a30kto34999,a35kto39999,a40kto49999,a50kto59999,a60kto69999,a70kto79999,a80kto89999,a90kto99999,a100kto124999,a125kto149999,a150kto174999,a175kto199999,a200kto249999,a250kto299999,a300kto399999,a400kto499999,a500kto749999,a750kto999999,a1Mto1499999,a1500000to1999999,a2MorMore,Units_with_cash_rent,MedianGrossRent,GlobalID,Shape__Area,Shape__Length
2904,37,119,005509,2,371190055092,Block Group 2,"Block Group 2, Census Tract 55.09, Mecklenburg County, North Carolina",149400,456,0,0,0,0,0,0,0,0,0,0,15,0,15,82,119,65,127,18,0,15,0,0,0,0,0,0,127,1559,9a8b3c83-61f5-4194-b9cc-a219d0c9214f,14175783.2723999,16825.0260241381
2905,37,119,005716,2,371190057162,Block Group 2,"Block Group 2, Census Tract 57.16, Mecklenburg County, North Carolina",158100,797,11,10,0,14,0,0,0,0,0,0,0,0,21,66,215,189,155,87,29,0,0,0,0,0,0,0,254,1153,6d9259d7-b3a7-447b-b70c-d426f37e8bc6,13994946.6367188,17257.2612753245
2906,37,119,004302,1,371190043021,Block Group 1,"Block Group 1, Census Tract 43.02, Mecklenburg County, North Carolina",85400,125,0,0,0,0,0,0,0,25,0,0,30,14,21,35,0,0,0,0,0,0,0,0,0,0,0,0,267,838,04ac4368-b5f2-457b-8d65-81aa7e0a5779,6709968.59954834,11823.5914722417
2907,37,119,980200,1,371199802001,Block Group 1,"Block Group 1, Census Tract 9802, Mecklenburg County, North Carolina",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f467df42-a64c-47f1-aaec-ec936779c473,121839869.358582,57450.7270232981
2908,37,119,005823,3,371190058233,Block Group 3,"Block Group 3, Census Tract 58.23, Mecklenburg County, North Carolina",270500,657,0,0,0,0,0,0,0,0,0,0,0,0,0,19,39,97,30,70,179,186,27,0,0,0,0,10,241,1660,ee8b6276-f841-4b65-9d62-e8f329bc00b4,17691299.5135498,18656.3532873465
2909,37,119,005712,1,371190057121,Block Group 1,"Block Group 1, Census Tract 57.12, Mecklenburg County, North Carolina",212200,749,0,0,13,0,0,0,0,0,0,0,0,0,10,27,22,114,123,269,139,21,0,0,11,0,0,0,163,1282,06c29f47-166a-47a5-845a-220b0c0df156,39625054.9264526,30062.0197364019
2910,37,119,005843,1,371190058431,Block Group 1,"Block Group 1, Census Tract 58.43, Mecklenburg County, North Carolina",314400,416,0,14,0,0,0,0,0,0,0,0,0,0,0,11,13,40,25,48,41,111,27,7,79,0,0,0,51,1639,fe2df1de-6c38-49ef-919b-22d77c22e9f0,20709291.230896,20852.3275935812
2911,37,119,005401,3,371190054013,Block Group 3,"Block Group 3, Census Tract 54.01, Mecklenburg County, North Carolina",111300,294,0,0,0,0,0,0,0,0,0,0,48,49,0,111,62,9,0,15,0,0,0,0,0,0,0,0,250,721,ea18787f-7f00-4aff-99c1-de95f26868e9,28103291.5485229,31196.790428116
2912,37,119,004800,2,371190048002,Block Group 2,"Block Group 2, Census Tract 48, Mecklenburg County, North Carolina",84700,219,0,0,0,0,0,0,0,0,39,23,9,82,0,17,27,13,0,0,9,0,0,0,0,0,0,0,207,923,82e0c64f-2df2-4548-b6bb-15d5c4cf9873,7022314.38745117,11212.1937452245
2913,37,119,001507,1,371190015071,Block Group 1,"Block Group 1, Census Tract 15.07, Mecklenburg County, North Carolina",,34,0,0,0,0,0,0,0,0,0,0,23,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,541,895,c2b7f096-66fc-449f-b8ed-6708f36e5930,5583469.03790283,9515.27790521498
2914,37,119,002200,4,371190022004,Block Group 4,"Block Group 4, Census Tract 22, Mecklenburg County, North Carolina",904200,337,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,38,28,37,31,30,85,72,0,296,1538,7c8da356-a075-4eef-b903-f1769fe60881,15531243.4404907,21126.8735868916
2915,37,119,001914,1,371190019141,Block Group 1,"Block Group 1, Census Tract 19.14, Mecklenburg County, North Carolina",160700,108,0,7,0,0,0,0,0,0,0,0,0,10,0,23,5,21,19,7,16,0,0,0,0,0,0,0,533,914,e91ec4ac-d1d4-4ed4-baf8-a6baff4e226d,21957347.4474487,25961.6463950815
2916,37,119,004200,3,371190042003,Block Group 3,"Block Group 3, Census Tract 42, Mecklenburg County, North Carolina",97400,65,0,0,0,0,0,0,0,0,0,0,7,19,7,16,0,0,0,0,0,0,0,16,0,0,0,0,128,973,646c4be6-498f-4b35-bcb1-60a53fa53c84,6207921.07720947,10161.2003545536
2917,37,119,003106,1,371190031061,Block Group 1,"Block Group 1, Census Tract 31.06, Mecklenburg County, North Carolina",209400,508,0,9,0,0,0,0,0,0,0,0,0,0,0,18,41,62,94,160,53,71,0,0,0,0,0,0,366,1058,273d3331-da70-499b-bc59-970071ed33c3,14413365.2165527,18900.7615952691
2918,37,119,001916,2,371190019162,Block Group 2,"Block Group 2, Census Tract 19.16, Mecklenburg County, North Carolina",118000,560,0,0,0,0,0,0,0,21,0,22,73,9,81,103,34,99,36,72,10,0,0,0,0,0,0,0,379,901,7e0ce831-d5c7-471f-8064-32994706c315,20297182.2176514,20105.6121116784
2919,37,119,001910,2,371190019102,Block Group 2,"Block Group 2, Census Tract 19.10, Mecklenburg County, North Carolina",142900,412,0,0,0,0,0,0,0,0,0,0,0,19,28,79,112,103,28,33,0,10,0,0,0,0,0,0,93,1223,6f58c71d-a496-4f2e-8aec-f918fe7d949e,8595490.64416504,14474.155806894
2920,37,119,001922,2,371190019222,Block Group 2,"Block Group 2, Census Tract 19.22, Mecklenburg County, North Carolina",124600,666,0,0,0,0,0,0,0,9,0,0,42,28,86,171,116,149,11,54,0,0,0,0,0,0,0,0,264,962,ca9943e2-9e09-4e46-bdac-65ed0dacbfff,25476033.0829468,30831.3201680977
2921,37,119,001910,3,371190019103,Block Group 3,"Block Group 3, Census Tract 19.10, Mecklenburg County, North Carolina",134500,258,10,0,0,0,0,0,0,0,0,0,8,16,25,42,74,43,14,26,0,0,0,0,0,0,0,0,238,942,550a6b9f-2752-4a0b-a603-96950ebed11e,9515554.42614746,17437.0982595432
2922,37,119,004100,4,371190041004,Block Group 4,"Block Group 4, Census Tract 41, Mecklenburg County, North Carolina",199300,77,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,14,17,25,0,9,0,4,0,0,0,0,244,958,ffdad957-6918-4ab7-93de-65ee960b1487,7531339.31445313,12671.9752826072
2923,37,119,005913,3,371190059133,Block Group 3,"Block Group 3, Census Tract 59.13, Mecklenburg County, North Carolina",187100,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,29,32,32,0,0,0,14,0,0,0,0,510,1143,b2f0f2da-8ed7-45e8-b100-7dced90ab131,19325085.4848633,20114.8155540101
2924,37,119,004304,1,371190043041,Block Group 1,"Block Group 1, Census Tract 43.04, Mecklenburg County, North Carolina",97000,467,0,0,0,0,0,0,0,0,62,15,0,103,76,77,78,53,3,0,0,0,0,0,0,0,0,0,579,970,eec93887-9135-49e5-9fa5-67be80f01793,31817374.2947998,23617.7668785028
2925,37,119,006204,4,371190062044,Block Group 4,"Block Group 4, Census Tract 62.04, Mecklenburg County, North Carolina",268900,547,14,0,0,0,0,0,0,0,0,0,16,0,0,0,61,0,72,95,41,133,45,52,0,18,0,0,123,1197,6cc64f73-6661-4c46-be2c-ae3ba6b46416,16947969.828125,18347.7641950394
2926,37,119,006407,1,371190064071,Block Group 1,"Block Group 1, Census Tract 64.07, Mecklenburg County, North Carolina",231400,358,0,0,0,0,0,0,0,0,13,0,0,0,0,29,22,31,30,86,122,9,0,9,0,0,0,7,211,1705,99838954-58d4-42ed-bd44-32658ea187aa,22855505.7015381,27086.4141201076
