OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,geoname,Median_Housing_Value,houses,lessthan10k,a10kto14999,a15kto19999,a20kto24999,a25kto29999,a30kto34999,a35kto39999,a40kto49999,a50kto59999,a60kto69999,a70kto79999,a80kto89999,a90kto99999,a100kto124999,a125kto149999,a150kto174999,a175kto199999,a200kto249999,a250kto299999,a300kto399999,a400kto499999,a500kto749999,a750kto999999,a1Mto1499999,a1500000to1999999,a2MorMore,Units_with_cash_rent,MedianGrossRent,GlobalID,Shape__Area,Shape__Length,Affordable,Middle,HighEnd,Affordability_Index
3065,37,119,6203,3,371190062033,Block Group 3,"Block Group 3, Census Tract 62.03, Mecklenburg County, North Carolina",392500.0,780.0,16,0,11,0,0,0,0,0,0,0,0,0,0,0,0,75,0,36,43,226,135,54,143,12,29,0,103,1201.0,ebafca5b-8e04-47ad-96de-099e8b9bee98,64418036.0263672,42435.136192946,27,380,373,0.03461538461538462
3066,37,119,1507,3,371190015073,Block Group 3,"Block Group 3, Census Tract 15.07, Mecklenburg County, North Carolina",127800.0,103.0,0,0,0,0,0,0,0,0,0,0,0,0,30,19,22,32,0,0,0,0,0,0,0,0,0,0,395,950.0,1b054cfa-75e6-4274-8179-6dfc0ddd32e0,9069580.16503906,13510.8471043445,71,32,0,0.6893203883495146
3067,37,119,2500,1,371190025001,Block Group 1,"Block Group 1, Census Tract 25, Mecklenburg County, North Carolina",660700.0,165.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,6,25,35,38,17,0,15,528,1483.0,1fb34bd2-1c22-413d-bfda-027ab2ffad6b,5905764.42858887,11191.5119688654,5,30,130,0.030303030303030304
3068,37,119,6213,1,371190062131,Block Group 1,"Block Group 1, Census Tract 62.13, Mecklenburg County, North Carolina",315600.0,1246.0,0,0,23,0,0,19,0,0,0,0,0,0,0,0,27,41,60,223,161,441,219,11,0,21,0,0,71,,92c14eef-f181-47c7-a875-0744e9e614c5,371863822.04071,115406.329302637,69,926,251,0.05537720706260032
3069,37,119,5620,2,371190056202,Block Group 2,"Block Group 2, Census Tract 56.20, Mecklenburg County, North Carolina",163200.0,1033.0,18,44,15,0,0,11,0,25,0,0,0,0,0,18,332,101,100,289,80,0,0,0,0,0,0,0,433,1247.0,e5d94796-993f-4ddb-9f38-4f335868aa18,58959828.1948242,37005.5141494905,463,570,0,0.4482090997095837
3070,37,119,6214,2,371190062142,Block Group 2,"Block Group 2, Census Tract 62.14, Mecklenburg County, North Carolina",249700.0,847.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,57,73,285,219,203,0,0,0,0,0,0,39,1713.0,a4b9e5c2-4bb2-4223-8596-0348cc59ad70,29336907.6672363,25830.1978482628,10,837,0,0.011806375442739079
3071,37,119,2004,3,371190020043,Block Group 3,"Block Group 3, Census Tract 20.04, Mecklenburg County, North Carolina",586100.0,97.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,74,0,0,0,0,980,1217.0,cdd96403-6e73-4144-8a81-0d28c385c3f9,12992895.5162354,16559.2726159813,0,23,74,0.0
3072,37,119,5611,1,371190056111,Block Group 1,"Block Group 1, Census Tract 56.11, Mecklenburg County, North Carolina",171300.0,577.0,0,6,0,0,0,0,0,0,0,0,0,0,21,73,81,126,130,102,38,0,0,0,0,0,0,0,603,1109.0,4dca2a34-2e58-48de-9256-6dfff9c4beca,54337579.8383179,35341.396993086,181,396,0,0.31369150779896016
3073,37,119,3017,2,371190030172,Block Group 2,"Block Group 2, Census Tract 30.17, Mecklenburg County, North Carolina",379500.0,989.0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,29,30,131,369,221,188,10,0,0,0,59,2039.0,fa1d4d4d-8fb4-4c25-a48e-0b7a1434bedf,28064673.0050049,23603.6324834115,11,559,419,0.011122345803842264
3074,37,119,5848,2,371190058482,Block Group 2,"Block Group 2, Census Tract 58.48, Mecklenburg County, North Carolina",470500.0,568.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,18,0,110,217,125,84,11,0,0,10,,f319028e-7801-4dd6-b695-76a9acf02c47,22160197.9805298,23810.7026268256,3,128,437,0.00528169014084507
